Hilichurl,English
Mi Muhe Nye Mi Muhe Beru.,I hate what I do.
Yeye Plata Mimi In Nunu.,They annoy us at night.
"Mosi Gusha, Biadam Lata Boya.","The food is good, but the blue is bad."
Aba Movo Lata Celi Nini.,I want the sun to go away.
"Du Tomo Ya Mito Sama Nunu, Yeye Beru Valo Mimi.","If your human friend knows the night shaman, they will help us."
"Eleka Movo Lata Upano, Kundala Zido Yoyo In Nini Boya!","Move the water upwards, the enemy is attacking them in the white place!"
"Mi Valo Ye muhe Tomo, Ye Valo Dada Mimi.","I thank you like a friend, you thank us very much."
"Du Aba Celi, Yoyo Movo Lata Nunu; Du Unta Lata, Yoyo Movo Celi Aba.","If the sun rises, they move to the water at night; If it's noon, they move to the sun at dawn."
Yeye Nini In Nunu? Biadam Mimi Movo Lata Upano.,Did they disappear at night? We don't like moving water upwards.
Eleka Mani Mimi! Yoyo Plata Mimi In Aba!,Help us now! The humans are annoying us in the morning!
Biadam Mimi Beru Si! Du Valo Mosi Mita Dala?,Stop doing that wrong thing! Do you want good food?
Mi Muhe Ye Beru Biadam. Yoyo Movo Lata Nunu Du Valo Dada Mimi.,"I don't like what you're doing. If you move the water upwards, we thank you very much."
"Mi Nunu Si, Mosi Nini.","I am at the end, I want nothing."
"Olah, mi muhe Celi Boya.","Hello, I like red."
"Valo, tomomo.","Thank you, friend."
"Da, ya beru si.","Yes, the human does that."
"Nye, mi muhe Mita.","No, I like food."
Unu ya in Upano.,One human in the sky.
Mosi Mita!,I am happy!
Mi muhe Lata Boya.,I like blue.
"Beru Si, yeye muhe Upa.",What are they doing? They like the collection.
"Mi muhe Unu Boya, mi muhe Dudu Boya.","I like yellow, I like four."
Mi muhe Odomu.,I don't like strangers.
"Valo Dada, tomomo.","Thank you very much, friend."
Mi muhe Nini Boya.,I like white.
Du yeye beru mi tomo?,"Where are they acting, my friend?"
Mosi Gusha!,I am unhappy!
Mi muhe Lata.,I like cold.
Yeye beru mi tomo!,"They are doing it, my friend!"
Mi muhe Sama.,I like the individual with high intellect.
Mi muhe Nunu Boya.,I like black.
Unu yaya in Upano.,One group of humans in the sky.
Mi muhe Eleka.,I like now.
Mi muhe Mi Muhe Upa Celi Nini.,I like to want the sun to be gone.
Mi muhe Mi Muhe Nye.,I like to hate myself.
"Valo, ya beru si.","Thank you, the human does that."
Mi muhe Gusha Boya.,I like green.
Du Yeye mani mi?,Do they help me?
Mi muhe Celi.,I like bright.
"Beru Si, ya beru si.",What are you doing? The human does that.
Mosi Mita!,I am happy!
"Valo, ya beru si.","Thank you, the human does that."
Mi muhe Lata Boya.,I like blue.
Mi muhe Nini Boya.,I like white.
Mi muhe Odomu.,I don't like strangers.
"Valo, ya beru si.","Thank you, the human does that."
Mi muhe Nunu Boya.,I like black.
Mi muhe Eleka.,I like now.
Mi muhe Mi Muhe Upa Celi Nini.,I like to want the sun to be gone.
Mi muhe Mi Muhe Nye.,I like to hate myself.
Mi muhe Gusha Boya.,I like green.
Mi muhe Lata.,I like cold.
Mi muhe Sama.,I like the individual with high intellect.
Mi muhe Nunu Boya.,I like black.
"Olah, tomomo.","Hello, friend."
Du Wei dala? Mito nye!,Where did the human go? I don’t know!
"Valo, ya beru si, mi muhe Unu Boya.","Thank you, the human does that, I like yellow."
"Beru Si, yeye beru mi tomo, mi muhe Mita.","What are you doing? They are doing it, I like food."
"Mi muhe Mosi Mita, mi muhe Eleka.","I like to eat food, I like now."
"Mi muhe Mosi Gusha, mi muhe Nunu Boya.","I dislike eating, I like black."
"Mi muhe Upa, yeye beru mi tomo, mi muhe Eleka.","I like the collection, they are doing it, I like now."
"Mi muhe Movo Lata, mi muhe Sama.","I like water, I like the individual with high intellect."
"Mi muhe Mi Muhe Upa Celi Nini, mi muhe Lata.","I want the sun to be gone, I like cold."
"Mi muhe Nini Boya, ya beru si, mi muhe Eleka.","I like white, the human does that, I like now."
"Mi muhe Mi Muhe Nye, mi muhe Gusha Boya, mi muhe Lata.","I like to hate myself, I like green, I like cold."
"Mi muhe Sama, mi muhe Eleka, mi muhe Nunu Boya.","I like the individual with high intellect, I like now, I like black."
"Mi muhe Lata, ya beru si, mi muhe Mosi Mita.","I like cold, the human does that, I am happy."
"Mi muhe Gusha Boya, yeye beru mi tomo, mi muhe Nini Boya.","I like green, they are doing it, I like white."
"Mi muhe Mosi Gusha, mi muhe Eleka.","I dislike eating, I like now."
"Valo, ya beru si, mi muhe Mita.","Thank you, the human does that, I like food."
"Mi muhe Unu Boya, yeye beru mi tomo, mi muhe Eleka.","I like yellow, they are doing it, I like now."
"Mi muhe Mosi Mita, mi muhe Nunu Boya.","I am happy, I like black."
"Mi muhe Lata, ya beru si, mi muhe Eleka.","I like cold, the human does that, I like now."
"Mi muhe Mi Muhe Nye, mi muhe Sama, mi muhe Nini Boya.","I like to hate myself, I like the individual with high intellect, I like white."
"Mi muhe Mosi Gusha, mi muhe Lata.","I am unhappy, I like cold."
"Valo Dada, ya beru si, mi muhe Mita.","Thank you very much, the human does that, I like food."
"Mi muhe Unu Boya, yeye beru mi tomo, mi muhe Mi Muhe Nye.","I like yellow, they are doing it, I like to hate myself."
"Mi muhe Mosi Mita, mi muhe Eleka, mi muhe Gusha Boya.","I am happy, I like now, I dislike eating."
"Mi muhe Lata, ya beru si, mi muhe Nini Boya.","I like cold, the human does that, I like white."
"Mi muhe Mi Muhe Nye, mi muhe Sama, mi muhe Nunu Boya.","I like to hate myself, I like the individual with high intellect, I like black."
"Mi muhe Mosi Gusha, mi muhe Lata.","I am unhappy, I like cold."
"Valo, ya beru si, mi muhe Mi Muhe Upa Celi Nini.","Thank you, the human does that, I want the sun to be gone."
"Olah, ya beru si, mi muhe Tomo.","Hello, the human does that, I like my friend."
Du Wei dala? Mi muhe Upa.,Where is the collection? I find it.
"Valo Dada, ya beru si, mi muhe Mita Eleka.","Thank you very much, the human does that, I enjoy tasty food."
"Beru Si, yeye beru mi tomo, mi muhe Gusha Boya.","What are you doing? They are doing it, I prefer green."
"Mi muhe Mosi Mita, mi muhe Eleka.","I am happy, I feel now."
"Mi muhe Mosi Gusha, mi muhe Nunu Boya.","I am not fond of eating, I prefer black."
"Mi muhe Upa, yeye beru mi tomo, mi muhe Eleka.","I appreciate the collection, they are doing it, I feel now."
"Mi muhe Movo Lata, mi muhe Sama.","I want to move the water, I appreciate the intellect."
"Mi muhe Mi Muhe Upa Celi Nini, mi muhe Lata.","I wish for the sun to be gone, I appreciate the cold."
"Mi muhe Nini Boya, ya beru si, mi muhe Eleka.","I prefer white, the human does that, I feel now."
"Mi muhe Mi Muhe Nye, mi muhe Gusha Boya, mi muhe Lata.","I dislike myself, I prefer green, I appreciate the cold."
"Mi muhe Sama, mi muhe Eleka, mi muhe Nunu Boya.","I value the intellect, I feel now, I prefer black."
"Mi muhe Lata, ya beru si, mi muhe Mosi Mita.","I like cold, the human does that, I am happy."
"Mi muhe Gusha Boya, yeye beru mi tomo, mi muhe Nini Boya.","I prefer green, they are doing it, I prefer white."
"Mi muhe Mosi Gusha, mi muhe Eleka.","I am not enjoying eating, I feel now."
"Valo, ya beru si, mi muhe Mita.","Thank you, the human does that, I enjoy food."
"Mi muhe Unu Boya, yeye beru mi tomo, mi muhe Eleka.","I prefer yellow, they are doing it, I feel now."
"Mi muhe Mosi Mita, mi muhe Nunu Boya.","I am happy, I prefer black."
"Mi muhe Lata, ya beru si, mi muhe Eleka.","I prefer cold, the human does that, I feel now."
"Mi muhe Mi Muhe Nye, mi muhe Sama, mi muhe Nini Boya.","I dislike myself, I value intellect, I prefer white."
"Mi muhe Mosi Gusha, mi muhe Lata.","I am not enjoying eating, I prefer cold."
"Valo Dada, ya beru si, mi muhe Mi Muhe Upa Celi Nini.","Thank you very much, the human does that, I wish for the sun to be gone."
Unu boya valo,One red thank you.
Du si upa,That thing is a collection of things.
Dudu mi muhe ye,"Four, I like you."
Mani mi tomo,I help my friend.
Mi muhe mi upa celi,I like the bright thing.
Yeye si ufono,They are upward direction.
Si boya lata,That thing is blue.
Nye si olah,"No, that thing is hello."
Biadam mi nye,I dislike myself.
Mi muhe mi nunu si,I want it to end.
Muhe yeye si,They like that thing.
Mi muhe upa celi nini,I want the sun to go away.
Du si upa celi,What thing is bright?
Mi muhe upa lata,I want the blue thing.
Si gusha mosi,That is food.
Nye si beru,"No, that is doing."
Beru si ufono,What are you all doing?
Yeye si gusha,They are food.
Valo dada si olah,"Thank you very much, that thing is hello."
Unu boya mosi mita,One red food from sentient living organisms.
Du si lata boya,That thing is blue.
Dudu mi muhe nye,"Four, I hate myself."
Mani mi nunu si,I help it to end.
Mi muhe mi boya,I like the collection of things.
Yeye si boya,They are red.
Si upa celi,That is bright.
Nye si olah,"No, that is hello."
Biadam mi muhe,I dislike it.
Mi muhe si,I like that thing.
Mi muhe upa lata,I want the blue collection of things.
Du si gusha,What thing is food?
Mi muhe upa celi nini,I want the bright thing to end.
Si gusha mosi mita,That is food from sentient living organisms.
Nye si beru si,"No, that thing is doing."
Beru si ufono,What are you all doing?
Yeye si gusha mita,They are food from sentient living organisms.
Valo dada si olah,"Thank you very much, that thing is hello."
Unu boya mosi mita,One red food from sentient living organisms.
Du si lata boya,That thing is blue.
Dudu mi muhe nye,"Four, I hate myself."
Mani mi nunu si,I help it to end.
Mi muhe mi boya,I like the collection of things.
Yeye si boya,They are red.
Si upa celi,That is bright.
Nye si olah,"No, that is hello."
Biadam mi muhe,I dislike it.
